rel_path,size_mb,h5py_open,is_symlink,error,total_items,has_posterior,has_ringdown,has_strain
GW240925_combinedPHM_envcalC01_metafile.hdf5,190.81,True,False,,1898,True,False,False
GW250207_combinedPHM_cal_metafile.hdf5,292.48,True,False,,3105,True,False,False
combined_samples\combined_samples\S240925n\combinedPHM_envcalC00_metafile.hdf5,0,False,True,Symlink: \home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_envcalC00_metafile.hdf5,0,False,False,False
combined_samples\combined_samples\S240925n\combinedPHM_envcalC01_metafile.hdf5,0,False,True,Symlink: \home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_envcalC01_metafile.hdf5,0,False,False,False
combined_samples\combined_samples\S240925n\combinedPHM_flatcalC00_metafile.hdf5,0,False,True,Symlink: \home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_flatcalC00_metafile.hdf5,0,False,False,False
combined_samples\combined_samples\S240925n\combinedPHM_nocalC00_metafile.hdf5,0,False,True,Symlink: \home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_nocalC00_metafile.hdf5,0,False,False,False
combined_samples\combined_samples\S250207bg\combinedPHM_cal_metafile.hdf5,0,False,True,Symlink: \home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S250207bg\combinedPHM_cal_metafile.hdf5,0,False,False,False
combined_samples\combined_samples\S250207bg\combinedPHM_H1cal_metafile.hdf5,0,False,True,Symlink: \home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S250207bg\combinedPHM_H1cal_metafile.hdf5,0,False,False,False
combined_samples\combined_samples\S250207bg\combinedPHM_nocal_metafile.hdf5,0,False,True,Symlink: \home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S250207bg\combinedPHM_nocal_metafile.hdf5,0,False,False,False
GW240925-C00-Strain\GW240925-C00-Strain\O4b4DiscC00_16KHZ_R1\STRAIN_HDF\H1\1410334720\H-H1_GWOSC_O4b4DiscC00_16KHZ_R1-1411260416-4096.hdf5,203.85,True,False,,26,False,False,True
