"FullName","Name","Extension","Length","LastWriteTime"
"E:\clone\ligo-gw240925-gw250207-release\01_EXTRACTED\1860070\calibration.tar.gz","calibration.tar.gz",".gz","484142","14.05.2026 00:27:32"
"E:\clone\ligo-gw240925-gw250207-release\01_EXTRACTED\1860070\cal_env.tar.gz","cal_env.tar.gz",".gz","8609","14.05.2026 00:37:56"
"E:\clone\ligo-gw240925-gw250207-release\01_EXTRACTED\1860070\combined_samples.tar.gz","combined_samples.tar.gz",".gz","10251340","14.05.2026 00:29:40"
"E:\clone\ligo-gw240925-gw250207-release\01_EXTRACTED\1860070\fti.tar.gz","fti.tar.gz",".gz","1526","14.05.2026 00:38:08"
"E:\clone\ligo-gw240925-gw250207-release\01_EXTRACTED\1860070\GW240925-C00-Strain.tar","GW240925-C00-Strain.tar",".tar","2532003840","14.05.2026 00:31:34"
"E:\clone\ligo-gw240925-gw250207-release\01_EXTRACTED\1860070\GW240925_combinedPHM_envcalC01_metafile.hdf5","GW240925_combinedPHM_envcalC01_metafile.hdf5",".hdf5","200078148","14.05.2026 00:38:08"
"E:\clone\ligo-gw240925-gw250207-release\01_EXTRACTED\1860070\GW250207_combinedPHM_cal_metafile.hdf5","GW250207_combinedPHM_cal_metafile.hdf5",".hdf5","306692287","14.05.2026 00:29:40"
"E:\clone\ligo-gw240925-gw250207-release\01_EXTRACTED\1860070\notebooks.tar.gz","notebooks.tar.gz",".gz","44235","14.05.2026 00:30:30"
"E:\clone\ligo-gw240925-gw250207-release\01_EXTRACTED\1860070\pca.tar.gz","pca.tar.gz",".gz","420807558","14.05.2026 00:30:30"
"E:\clone\ligo-gw240925-gw250207-release\01_EXTRACTED\1860070\pseobnr.tar.gz","pseobnr.tar.gz",".gz","80213161","14.05.2026 00:37:56"
"E:\clone\ligo-gw240925-gw250207-release\01_EXTRACTED\1860070\qnmrf.tar.gz","qnmrf.tar.gz",".gz","3722071","14.05.2026 00:38:08"
"E:\clone\ligo-gw240925-gw250207-release\01_EXTRACTED\1860070\residuals.tar.gz","residuals.tar.gz",".gz","3053091","14.05.2026 00:38:08"
"E:\clone\ligo-gw240925-gw250207-release\01_EXTRACTED\1860070\ringdown.tar.gz","ringdown.tar.gz",".gz","870703200","14.05.2026 00:27:32"
"E:\clone\ligo-gw240925-gw250207-release\01_EXTRACTED\1860070\skymaps.tar.gz","skymaps.tar.gz",".gz","1190","14.05.2026 00:38:08"
"E:\clone\ligo-gw240925-gw250207-release\01_EXTRACTED\1860070\tiger.tar.gz","tiger.tar.gz",".gz","1914","14.05.2026 00:37:56"
