full_path,relative_path,entry_type,link_target,h5py_open_ok,h5py_error,top_level_groups,object_count,dataset_count,group_count,classification,basename_matches_elsewhere,resolved_target_path,notes
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,regular_file,,True,,C01:IMRPhenomXPHM-SpinTaylor;C01:IMRPhenomXPNR;C01:Mixed;C01:SEOBNRv5PHM;history;version,1898,1811,87,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\GW250207_combinedPHM_cal_metafile.hdf5,GW250207_combinedPHM_cal_metafile.hdf5,regular_file,,True,,C00:IMRPhenomXAS;C00:IMRPhenomXPHM-SpinTaylor;C00:IMRPhenomXPNR;C00:Mixed;C00:NRSur7dq4;C00:SEOBNRv5PHM;history;version,3105,2965,140,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S240925n\combinedPHM_envcalC00_metafile.hdf5,combined_samples\combined_samples\S240925n\combinedPHM_envcalC00_metafile.hdf5,symlink,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_envcalC00_metafile.hdf5,False,,,0,0,0,SYMLINK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S240925n\combinedPHM_envcalC01_metafile.hdf5,combined_samples\combined_samples\S240925n\combinedPHM_envcalC01_metafile.hdf5,symlink,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_envcalC01_metafile.hdf5,False,,,0,0,0,SYMLINK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S240925n\combinedPHM_flatcalC00_metafile.hdf5,combined_samples\combined_samples\S240925n\combinedPHM_flatcalC00_metafile.hdf5,symlink,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_flatcalC00_metafile.hdf5,False,,,0,0,0,SYMLINK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S240925n\combinedPHM_nocalC00_metafile.hdf5,combined_samples\combined_samples\S240925n\combinedPHM_nocalC00_metafile.hdf5,symlink,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_nocalC00_metafile.hdf5,False,,,0,0,0,SYMLINK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S240925n\online_posterior_samples.h5,combined_samples\combined_samples\S240925n\online_posterior_samples.h5,regular_file,,True,,Exp0;history;version,874,849,25,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S250207bg\combinedPHM_cal_metafile.hdf5,combined_samples\combined_samples\S250207bg\combinedPHM_cal_metafile.hdf5,symlink,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S250207bg\combinedPHM_cal_metafile.hdf5,False,,,0,0,0,SYMLINK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S250207bg\combinedPHM_H1cal_metafile.hdf5,combined_samples\combined_samples\S250207bg\combinedPHM_H1cal_metafile.hdf5,symlink,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S250207bg\combinedPHM_H1cal_metafile.hdf5,False,,,0,0,0,SYMLINK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S250207bg\combinedPHM_nocal_metafile.hdf5,combined_samples\combined_samples\S250207bg\combinedPHM_nocal_metafile.hdf5,symlink,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S250207bg\combinedPHM_nocal_metafile.hdf5,False,,,0,0,0,SYMLINK,,,
