full_path,relative_path,parent,filename,extension,entry_type,size_bytes,size_mb,modified_time,attributes,link_target,link_target_exists,byte_open_ok,byte_open_error,category,notes
E:\clone\ligo-gw240925-gw250207-release\18600070\calibration,calibration,,calibration,,directory,0,0,2026-05-14T11:42:20.319591,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\cal_env,cal_env,,cal_env,,directory,0,0,2026-05-14T11:42:08.516788,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples,combined_samples,,combined_samples,,directory,0,0,2026-05-14T11:42:50.983771,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti,fti,,fti,,directory,0,0,2026-05-14T11:43:07.265851,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925-C00-Strain,GW240925-C00-Strain,,GW240925-C00-Strain,,directory,0,0,2026-05-14T11:43:28.026676,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\notebooks,notebooks,,notebooks,,directory,0,0,2026-05-14T11:43:45.662425,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\pca,pca,,pca,,directory,0,0,2026-05-14T11:43:57.995384,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\pseobnr,pseobnr,,pseobnr,,directory,0,0,2026-05-14T11:44:09.361628,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\qnmrf,qnmrf,,qnmrf,,directory,0,0,2026-05-14T11:44:18.743011,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\residuals,residuals,,residuals,,directory,0,0,2026-05-14T11:44:29.042066,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\ringdown,ringdown,,ringdown,,directory,0,0,2026-05-14T11:44:39.340753,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\skymaps,skymaps,,skymaps,,directory,0,0,2026-05-14T11:44:50.664245,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\tiger,tiger,,tiger,,directory,0,0,2026-05-14T11:45:05.133112,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\calibration.tar.gz,calibration.tar.gz,,calibration.tar.gz,.gz,regular_file,484142,0.46,2026-05-14T11:41:07.864264,,,,YES,,archive,
E:\clone\ligo-gw240925-gw250207-release\18600070\cal_env.tar.gz,cal_env.tar.gz,,cal_env.tar.gz,.gz,regular_file,8609,0.01,2026-05-14T11:41:55.932337,,,,YES,,archive,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples.tar.gz,combined_samples.tar.gz,,combined_samples.tar.gz,.gz,regular_file,10251340,9.78,2026-05-14T11:41:19.023687,,,,YES,,archive,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti.tar.gz,fti.tar.gz,,fti.tar.gz,.gz,regular_file,1526,0.0,2026-05-14T11:41:56.730781,,,,YES,,archive,
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925-C00-Strain.tar,GW240925-C00-Strain.tar,,GW240925-C00-Strain.tar,.tar,regular_file,2532003840,2414.71,2026-05-14T11:41:55.890166,,,,YES,,archive,
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,,GW240925_combinedPHM_envcalC01_metafile.hdf5,.hdf5,regular_file,200078148,190.81,2026-05-14T11:41:58.762924,,,,YES,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\GW250207_combinedPHM_cal_metafile.hdf5,GW250207_combinedPHM_cal_metafile.hdf5,,GW250207_combinedPHM_cal_metafile.hdf5,.hdf5,regular_file,306692287,292.48,2026-05-14T11:41:23.180215,,,,YES,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\notebooks.tar.gz,notebooks.tar.gz,,notebooks.tar.gz,.gz,regular_file,44235,0.04,2026-05-14T11:41:23.210524,,,,YES,,archive,
E:\clone\ligo-gw240925-gw250207-release\18600070\pca.tar.gz,pca.tar.gz,,pca.tar.gz,.gz,regular_file,420807558,401.31,2026-05-14T11:41:28.340133,,,,YES,,archive,
E:\clone\ligo-gw240925-gw250207-release\18600070\pseobnr.tar.gz,pseobnr.tar.gz,,pseobnr.tar.gz,.gz,regular_file,80213161,76.5,2026-05-14T11:41:56.707565,,,,YES,,archive,
E:\clone\ligo-gw240925-gw250207-release\18600070\qnmrf.tar.gz,qnmrf.tar.gz,,qnmrf.tar.gz,.gz,regular_file,3722071,3.55,2026-05-14T11:41:56.809825,,,,YES,,archive,
