FullName,Exists,Length,Attributes,LinkType,Target,can_open,open_error,classification,archive_source
,True,200078148,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,306692287,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,200078148,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,306692287,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_envcalC00_metafile.hdf5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_envcalC01_metafile.hdf5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_flatcalC00_metafile.hdf5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_nocalC00_metafile.hdf5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,13503280,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S250207bg\combinedPHM_cal_metafile.hdf5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S250207bg\combinedPHM_H1cal_metafile.hdf5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S250207bg\combinedPHM_nocal_metafile.hdf5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi0-1\posterior_samples.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi1\posterior_samples.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi2\posterior_samples.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi3NS\posterior_samples.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi4NS\posterior_samples.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi5lNS\posterior_samples.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi6l\posterior_samples.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi6NS\posterior_samples.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi7NS\posterior_samples.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
