source_path,source_archive,target_path,target_basename,classification,resolution_details,target_in_release
combined_samples/S240925n/combinedPHM_envcalC00_metafile.hdf5,combined_samples.tar.gz,/home/sylvia.biscoveanu/gw240925_and_gw250207/data/combined_samples/S240925n/combinedPHM_envcalC00_metafile.hdf5,combinedPHM_envcalC00_metafile.hdf5,RESOLVED_BASENAME_UNIQUE,Unique basename match: combined_samples/S240925n/combinedPHM_envcalC00_metafile.hdf5 in combined_samples.tar.gz,YES
combined_samples/S240925n/combinedPHM_envcalC01_metafile.hdf5,combined_samples.tar.gz,/home/sylvia.biscoveanu/gw240925_and_gw250207/data/combined_samples/S240925n/combinedPHM_envcalC01_metafile.hdf5,combinedPHM_envcalC01_metafile.hdf5,RESOLVED_BASENAME_UNIQUE,Unique basename match: combined_samples/S240925n/combinedPHM_envcalC01_metafile.hdf5 in combined_samples.tar.gz,YES
combined_samples/S240925n/combinedPHM_nocalC00_metafile.hdf5,combined_samples.tar.gz,/home/sylvia.biscoveanu/gw240925_and_gw250207/data/combined_samples/S240925n/combinedPHM_nocalC00_metafile.hdf5,combinedPHM_nocalC00_metafile.hdf5,RESOLVED_BASENAME_UNIQUE,Unique basename match: combined_samples/S240925n/combinedPHM_nocalC00_metafile.hdf5 in combined_samples.tar.gz,YES
combined_samples/S240925n/combinedPHM_flatcalC00_metafile.hdf5,combined_samples.tar.gz,/home/sylvia.biscoveanu/gw240925_and_gw250207/data/combined_samples/S240925n/combinedPHM_flatcalC00_metafile.hdf5,combinedPHM_flatcalC00_metafile.hdf5,RESOLVED_BASENAME_UNIQUE,Unique basename match: combined_samples/S240925n/combinedPHM_flatcalC00_metafile.hdf5 in combined_samples.tar.gz,YES
combined_samples/S250207bg/combinedPHM_nocal_metafile.hdf5,combined_samples.tar.gz,/home/sylvia.biscoveanu/gw240925_and_gw250207/data/combined_samples/S250207bg/combinedPHM_nocal_metafile.hdf5,combinedPHM_nocal_metafile.hdf5,RESOLVED_BASENAME_UNIQUE,Unique basename match: combined_samples/S250207bg/combinedPHM_nocal_metafile.hdf5 in combined_samples.tar.gz,YES
combined_samples/S250207bg/combinedPHM_H1cal_metafile.hdf5,combined_samples.tar.gz,/home/sylvia.biscoveanu/gw240925_and_gw250207/data/combined_samples/S250207bg/combinedPHM_H1cal_metafile.hdf5,combinedPHM_H1cal_metafile.hdf5,RESOLVED_BASENAME_UNIQUE,Unique basename match: combined_samples/S250207bg/combinedPHM_H1cal_metafile.hdf5 in combined_samples.tar.gz,YES
combined_samples/S250207bg/combinedPHM_cal_metafile.hdf5,combined_samples.tar.gz,/home/sylvia.biscoveanu/gw240925_and_gw250207/data/combined_samples/S250207bg/combinedPHM_cal_metafile.hdf5,combinedPHM_cal_metafile.hdf5,RESOLVED_BASENAME_UNIQUE,Unique basename match: combined_samples/S250207bg/combinedPHM_cal_metafile.hdf5 in combined_samples.tar.gz,YES
fti/S250207bg_no_cal/fti_dchi6NS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_no_cal/fti_dchi6NS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_no_cal/fti_dchi7NS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_no_cal/fti_dchi7NS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_no_cal/fti_dchi3NS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_no_cal/fti_dchi3NS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
