file_path,file_name,hdf5_path,category,matched_term,item_type,shape,dtype,attributes,confidence
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor,calibration,C01,group,N/A,N/A,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/approximant,calibration,C01,dataset,"(1,)",|S13,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/calibration_envelope,calibration,C01,group,N/A,N/A,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/calibration_envelope/H1,calibration,C01,dataset,"(300, 7)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/calibration_envelope/L1,calibration,C01,dataset,"(300, 7)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/calibration_envelope/V1,calibration,C01,dataset,"(300, 7)",float64,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file,calibration,C01,group,N/A,N/A,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config,calibration,C01,group,N/A,N/A,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/accounting,calibration,C01,dataset,"(1,)",|S25,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/accounting-user,calibration,C01,dataset,"(1,)",|S17,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/calibration-model,calibration,C01,dataset,"(1,)",|S11,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/calibration_correction_type,calibration,C01,dataset,"(1,)",|S40,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/catch-waveform-errors,calibration,C01,dataset,"(1,)",|S4,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/channel-dict,calibration,C01,dataset,"(1,)",|S107,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/conda-env,calibration,C01,dataset,"(1,)",|S40,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/container,calibration,C01,dataset,"(1,)",|S71,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/cosmology,calibration,C01,dataset,"(1,)",|S12,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/data-dict,calibration,C01,dataset,"(1,)",|S270,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/detectors,calibration,C01,dataset,"(1,)",|S18,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/distance-marginalization,calibration,C01,dataset,"(1,)",|S4,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/duration,calibration,C01,dataset,"(1,)",|S2,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/enforce-signal-duration,calibration,C01,dataset,"(1,)",|S5,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/environment-variables,calibration,C01,dataset,"(1,)",|S76,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/final-result,calibration,C01,dataset,"(1,)",|S4,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/generation-pool,calibration,C01,dataset,"(1,)",|S10,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/label,calibration,C01,dataset,"(1,)",|S5,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/maximum-frequency,calibration,C01,dataset,"(1,)",|S4,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/minimum-frequency,calibration,C01,dataset,"(1,)",|S43,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/n-parallel,calibration,C01,dataset,"(1,)",|S1,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/osg,calibration,C01,dataset,"(1,)",|S4,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/outdir,calibration,C01,dataset,"(1,)",|S44,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/overwrite-outdir,calibration,C01,dataset,"(1,)",|S4,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/periodic-restart-time,calibration,C01,dataset,"(1,)",|S5,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/plot-calibration,calibration,C01,dataset,"(1,)",|S4,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/plot-corner,calibration,C01,dataset,"(1,)",|S4,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/plot-data,calibration,C01,dataset,"(1,)",|S4,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/plot-trace,calibration,C01,dataset,"(1,)",|S4,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/pn-amplitude-order,calibration,C01,dataset,"(1,)",|S1,{},MEDIUM
E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,GW240925_combinedPHM_envcalC01_metafile.hdf5,C01:IMRPhenomXPHM-SpinTaylor/config_file/config/pn-phase-order,calibration,C01,dataset,"(1,)",|S2,{},MEDIUM
