folder,filename,full_path,size_bytes,is_symlink,h5py_open,h5py_error,top_level_items,status
ringdown,rd_GW250207_Kerr220_8M_singleIFO_prod_2048Hz_evol_20Ksamps.hdf5,E:\clone\ligo-gw240925-gw250207-release\18600070\ringdown\ringdown\rd_GW250207_Kerr220_8M_singleIFO_prod_2048Hz_evol_20Ksamps.hdf5,1286528,NO,YES,,H1_only;L1_only,SUCCESS
qnmrf,QNMRF_GW250207_Hanford_220_t=8.0M.h5,E:\clone\ligo-gw240925-gw250207-release\18600070\qnmrf\qnmrf\QNMRF_GW250207_Hanford_220_t=8.0M.h5,1000288,NO,YES,,likelihood_data,SUCCESS
qnmrf,QNMRF_GW250207_Livingston_220_t=8.0M.h5,E:\clone\ligo-gw240925-gw250207-release\18600070\qnmrf\qnmrf\QNMRF_GW250207_Livingston_220_t=8.0M.h5,1000288,NO,YES,,likelihood_data,SUCCESS
pca,pca_fti_GW250207_115645_C00_none_dchi_3NS_dchi_4NS_dchi_5lNS_dchi_6NS_dchi_6l_dchi_7NS.h5,E:\clone\ligo-gw240925-gw250207-release\18600070\pca\pca\pca_fti_GW250207_115645_C00_none_dchi_3NS_dchi_4NS_dchi_5lNS_dchi_6NS_dchi_6l_dchi_7NS.h5,41790405,NO,YES,,SEOBNRv5HM_ROM-fti-6p-prod1_data0_1422964623-2584229_analysis_H1L1V1_merge;history;version,SUCCESS
pca,pca_fti_GW250207_115645_C00_wide_dchi_3NS_dchi_4NS_dchi_5lNS_dchi_6NS_dchi_6l_dchi_7NS.h5,E:\clone\ligo-gw240925-gw250207-release\18600070\pca\pca\pca_fti_GW250207_115645_C00_wide_dchi_3NS_dchi_4NS_dchi_5lNS_dchi_6NS_dchi_6l_dchi_7NS.h5,100406361,NO,YES,,SEOBNRv5HM_ROM-fti-6p-prod1_data0_1422964623-2584229_analysis_H1L1V1_merge;history;version,SUCCESS
pca,pca_tiger_GW240925_005809_C00_envelope_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,E:\clone\ligo-gw240925-gw250207-release\18600070\pca\pca\pca_tiger_GW240925_005809_C00_envelope_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,82663984,NO,YES,,IMRPhenomXPHM-tiger-6p-prod1_data0_1411261107-9842608_analysis_H1L1V1_merge;history;version,SUCCESS
pca,pca_tiger_GW240925_005809_C00_none_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,E:\clone\ligo-gw240925-gw250207-release\18600070\pca\pca\pca_tiger_GW240925_005809_C00_none_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,26446248,NO,YES,,IMRPhenomXPHM-tiger-6p-prod1_data0_1411261107-9842608_analysis_H1L1V1_merge;history;version,SUCCESS
pca,pca_tiger_GW240925_005809_C00_wide_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,E:\clone\ligo-gw240925-gw250207-release\18600070\pca\pca\pca_tiger_GW240925_005809_C00_wide_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,102977169,NO,YES,,IMRPhenomXPHM-tiger-6p-prod1_data0_1411261107-9842608_analysis_H1L1V1_merge;history;version,SUCCESS
pca,pca_tiger_GW240925_005809_C01_envelope_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,E:\clone\ligo-gw240925-gw250207-release\18600070\pca\pca\pca_tiger_GW240925_005809_C01_envelope_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,87775728,NO,YES,,IMRPhenomXPHM-tiger-6p-prod1_data0_1411261107-9842608_analysis_H1L1V1_merge;history;version,SUCCESS
pca,pca_tiger_GW250207_115645_C00_none_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,E:\clone\ligo-gw240925-gw250207-release\18600070\pca\pca\pca_tiger_GW250207_115645_C00_none_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,42201960,NO,YES,,IMRPhenomXPHM-tiger-6p-prod1_data0_1422964623-2584229_analysis_H1L1V1_merge;history;version,SUCCESS
pca,pca_tiger_GW250207_115645_C00_wide_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,E:\clone\ligo-gw240925-gw250207-release\18600070\pca\pca\pca_tiger_GW250207_115645_C00_wide_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,112028560,NO,YES,,IMRPhenomXPHM-tiger-6p-prod1_data0_1422964623-2584229_analysis_H1L1V1_merge;history;version,SUCCESS
pseobnr,22_44_NoCal.hdf5,E:\clone\ligo-gw240925-gw250207-release\18600070\pseobnr\pseobnr\22_44_NoCal.hdf5,17809352,NO,YES,,__module__;__name__;constraint_parameter_keys;fixed_parameter_keys;information_gain;injection_parameters;label;log_bayes_factor;log_evidence;log_evidence_err;log_likelihood_evaluations;log_noise_evidence;log_prior_evaluations;meta_data;num_likelihood_evaluations;outdir;parameter_labels;parameter_labels_with_unit;posterior;priors,SUCCESS
