full_path,filename,size_bytes,can_open_h5py,h5py_exception,top_level_groups,read_only_test
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
,,4096,NO,Unable to synchronously open file (invalid file name),,NO
