detector,mask_type,bit_index,name,description,name_source,value_at_trigger,pct_set_whole_file,is_constant_whole_file,trigger_gps,interpretation_allowed
H1,DQ,0,DATA,data present,VERIFIED_FROM_HDF5,1,41.58,False,1411261107.984,YES
H1,DQ,1,CBC_CAT1,passes the cbc CAT1 test,VERIFIED_FROM_HDF5,1,41.58,False,1411261107.984,YES
H1,DQ,2,CBC_CAT2,passes cbc CAT2 test,VERIFIED_FROM_HDF5,1,41.58,False,1411261107.984,YES
H1,DQ,3,CBC_CAT3,passes cbc CAT3 test,VERIFIED_FROM_HDF5,1,41.58,False,1411261107.984,YES
H1,DQ,4,BURST_CAT1,passes burst CAT1 test,VERIFIED_FROM_HDF5,1,41.58,False,1411261107.984,YES
H1,DQ,5,BURST_CAT2,passes burst CAT2 test,VERIFIED_FROM_HDF5,1,41.46,False,1411261107.984,YES
H1,DQ,6,BURST_CAT3,passes burst CAT3 test,VERIFIED_FROM_HDF5,1,41.46,False,1411261107.984,YES
H1,DQ,7,STOCH_CAT1,passes stoch CAT1 test,VERIFIED_FROM_HDF5,1,41.58,False,1411261107.984,YES
H1,DQ,8,CW_CAT1,passes cw CAT1 test,VERIFIED_FROM_HDF5,0,0.0,True,1411261107.984,YES
H1,INJ,0,NO_CBC_HW_INJ,no cbc injection,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
H1,INJ,1,NO_BURST_HW_INJ,no burst injections,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
H1,INJ,2,NO_DETCHAR_HW_INJ,no detchar injections,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
H1,INJ,3,NO_CW_HW_INJ,no continuous wave injections,VERIFIED_FROM_HDF5,0,0.0,True,1411261107.984,YES
H1,INJ,4,NO_STOCH_HW_INJ,no stoch injections,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
L1,DQ,0,DATA,data present,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
L1,DQ,1,CBC_CAT1,passes the cbc CAT1 test,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
L1,DQ,2,CBC_CAT2,passes cbc CAT2 test,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
L1,DQ,3,CBC_CAT3,passes cbc CAT3 test,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
L1,DQ,4,BURST_CAT1,passes burst CAT1 test,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
L1,DQ,5,BURST_CAT2,passes burst CAT2 test,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
L1,DQ,6,BURST_CAT3,passes burst CAT3 test,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
L1,DQ,7,STOCH_CAT1,passes stoch CAT1 test,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
L1,DQ,8,CW_CAT1,passes cw CAT1 test,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
L1,INJ,0,NO_CBC_HW_INJ,no cbc injection,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
L1,INJ,1,NO_BURST_HW_INJ,no burst injections,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
L1,INJ,2,NO_DETCHAR_HW_INJ,no detchar injections,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
L1,INJ,3,NO_CW_HW_INJ,no continuous wave injections,VERIFIED_FROM_HDF5,0,0.0,True,1411261107.984,YES
L1,INJ,4,NO_STOCH_HW_INJ,no stoch injections,VERIFIED_FROM_HDF5,1,100.0,True,1411261107.984,YES
