detector,tag,band,n,mean,std,median,mad,skew,kurtosis,excess_kurtosis,max_abs_z,n3,e3,n4,e4,n5,e5,ad_stat,ad_5pct,ad_pass,ks_stat,ks_pval
H1,TRIGGER,FULLBAND,13108,-0.0,1.0,-0.001879,0.907034,0.009549,1.731821,-1.268179,2.9257,0,35,0,1,0,0,328.6146,0.752,False,0.111562,0.0
H1,OFF_m500,FULLBAND,13108,-0.0,1.0,0.00167,0.950349,-8e-05,1.591177,-1.408823,2.6586,0,35,0,1,0,0,505.9335,0.752,False,0.13861,0.0
H1,OFF_m300,FULLBAND,13108,0.0,1.0,-0.000222,0.949507,-2.2e-05,1.591597,-1.408403,2.6575,0,35,0,1,0,0,505.7999,0.752,False,0.138742,0.0
H1,TRIGGER,20.0-210.0Hz,13108,0.0,1.0,-0.001289,0.588816,0.297658,5.605149,2.605149,6.6365,131,35,36,1,15,0,35.3306,0.752,False,0.034682,0.0
H1,OFF_m500,20.0-210.0Hz,13108,0.0,1.0,-0.002509,0.403568,-0.139389,9.374759,6.374759,7.1205,307,35,91,1,24,0,410.7976,0.752,False,0.108998,0.0
H1,OFF_m300,20.0-210.0Hz,13108,0.0,1.0,0.002917,0.402827,-0.12715,9.333825,6.333825,7.1427,306,35,91,1,28,0,408.0159,0.752,False,0.110571,0.0
L1,TRIGGER,FULLBAND,13108,-0.0,1.0,0.000407,0.693053,-0.001543,3.618303,0.618303,4.4942,101,35,6,1,0,0,13.1503,0.752,False,0.020226,4.336e-05
L1,OFF_m500,FULLBAND,13108,-0.0,1.0,-0.002628,0.683561,0.009465,3.58474,0.58474,4.4277,103,35,4,1,0,0,10.3055,0.752,False,0.019059,0.00014433
L1,OFF_m300,FULLBAND,13108,0.0,1.0,0.00095,0.693337,0.001745,3.616819,0.616819,4.4759,99,35,6,1,0,0,13.1235,0.752,False,0.020111,4.9e-05
L1,OFF_m100,FULLBAND,13108,0.0,1.0,-0.004111,0.690091,0.004445,3.609337,0.609337,4.5563,94,35,6,1,0,0,12.939,0.752,False,0.020063,5.153e-05
L1,TRIGGER,20.0-210.0Hz,13108,-0.0,1.0,-0.002559,0.548137,-0.035153,7.582038,4.582038,6.8489,203,35,74,1,29,0,108.1823,0.752,False,0.053748,0.0
L1,OFF_m500,20.0-210.0Hz,13108,-0.0,1.0,0.011744,0.593297,0.059988,5.856398,2.856398,6.1849,145,35,66,1,19,0,38.7644,0.752,False,0.032591,0.0
L1,OFF_m300,20.0-210.0Hz,13108,0.0,1.0,0.002091,0.546931,-0.007959,7.559849,4.559849,6.7709,199,35,75,1,33,0,109.1182,0.752,False,0.057145,0.0
L1,OFF_m100,20.0-210.0Hz,13108,-0.0,1.0,-0.006431,0.536925,0.058408,7.523527,4.523527,6.9563,208,35,69,1,28,0,110.5198,0.752,False,0.053639,0.0
