metric,label,gw240925,gw250207,threshold,direction,gw250207_flag
l1_h1_ratio,L1/H1 BP ratio,1.5639,,1.5,>,
l1_stat_q,L1 stationarity Q %,74.5,,75.0,>,
h1_stat_q,H1 stationarity Q %,10.3,,75.0,>,
l1_line_frac,L1 line fraction,0.0465,,0.4,>,
coh_mean,H1/L1 coherence,0.05612,,0.1,>,
cross_phase_R,Cross-phase R,0.9115,,0.5,<,
l1_exk_20-40,L1 20-40Hz ex_k,44.8567,,10.0,>,
l1_exk_40-80,L1 40-80Hz ex_k,-0.5154,,3.0,>,
l1_exk_80-120,L1 80-120Hz ex_k,3.2657,,3.0,>,
l1_exk_120-160,L1 120-160Hz ex_k,5.6626,,3.0,>,
l1_exk_160-210,L1 160-210Hz ex_k,0.1984,,3.0,>,
h1_exk_20-40,H1 20-40Hz ex_k,3.6729,,10.0,>,
l1_phrand_kurt_q,L1 phase-rand kurtosis Q%,60.0,,90.0,>,
