window,band,abs_corr,raw_corr,dt_ms,is_physical
OFF_m500,120-160,0.9999509,-0.9999509,0.0,True
OFF_m500,160-210,0.999779,-0.999779,0.0,True
OFF_m500,20-210,0.999955,-0.999955,0.0,True
OFF_m500,20-40,0.9997962,-0.9997962,0.0,True
OFF_m500,40-80,0.9998758,-0.9998758,0.0,True
OFF_m500,80-120,0.99986,-0.99986,0.0,True
TRIGGER,120-160,0.999869,-0.999869,0.0,True
TRIGGER,160-210,0.9994455,-0.9994455,0.0,True
TRIGGER,20-210,0.9958729,-0.9958729,0.0,True
TRIGGER,20-40,0.9998171,0.9998171,-0.24,True
TRIGGER,40-80,0.9996503,-0.9996503,0.0,True
TRIGGER,80-120,0.9996181,-0.9996181,0.0,True
