window,band,f_lo,f_hi,peak_tau_ms,corr,abs_corr,verdict
TRIGGER,20-210,20,210,0.0,-0.991,0.991,COHERENT_WITH_SIGN_FLIP
OFF_m500,20-210,20,210,0.0,-0.9999,0.9999,COHERENT_WITH_SIGN_FLIP
TRIGGER,20-40,20,40,PENDING,PENDING,PENDING,PENDING
OFF_m500,20-40,20,40,PENDING,PENDING,PENDING,PENDING
TRIGGER,40-80,40,80,PENDING,PENDING,PENDING,PENDING
OFF_m500,40-80,40,80,PENDING,PENDING,PENDING,PENDING
TRIGGER,80-120,80,120,PENDING,PENDING,PENDING,PENDING
OFF_m500,80-120,80,120,PENDING,PENDING,PENDING,PENDING
TRIGGER,120-160,120,160,PENDING,PENDING,PENDING,PENDING
OFF_m500,120-160,120,160,PENDING,PENDING,PENDING,PENDING
TRIGGER,160-210,160,210,PENDING,PENDING,PENDING,PENDING
OFF_m500,160-210,160,210,PENDING,PENDING,PENDING,PENDING
