tag,band,f_lo,f_hi,mean_coh,phase_R,mean_phase_deg,coh_class,phase_class
TRIGGER,full,20.0,210.0,0.05612,0.9115,-167.02,INCOHERENT,STABLE_PHASE
TRIGGER,20-60,20.0,60.0,0.0618,0.9956,-154.58,INCOHERENT,STABLE_PHASE
TRIGGER,60-120,60.0,120.0,0.06308,0.9891,-166.04,INCOHERENT,STABLE_PHASE
TRIGGER,120-210,120.0,210.0,0.04898,0.8438,-174.82,INCOHERENT,STABLE_PHASE
OFF_m500,full,20.0,210.0,0.08177,0.9914,-10.71,INCOHERENT,STABLE_PHASE
OFF_m500,20-60,20.0,60.0,0.10681,0.9991,-18.63,WEAKLY_COHERENT,STABLE_PHASE
OFF_m500,60-120,60.0,120.0,0.08959,0.9984,-11.12,INCOHERENT,STABLE_PHASE
OFF_m500,120-210,120.0,210.0,0.06433,0.9904,-6.72,INCOHERENT,STABLE_PHASE
OFF_m300,full,20.0,210.0,0.12045,0.9869,170.22,WEAKLY_COHERENT,STABLE_PHASE
OFF_m300,20-60,20.0,60.0,0.16084,0.9982,162.53,WEAKLY_COHERENT,STABLE_PHASE
OFF_m300,60-120,60.0,120.0,0.13774,0.9992,170.28,WEAKLY_COHERENT,STABLE_PHASE
OFF_m300,120-210,120.0,210.0,0.08972,0.9804,173.84,INCOHERENT,STABLE_PHASE
