tag,shift_ms,xcorr,coh,is_physical
TRIGGER,-20.0,-0.9970989,0.500692,False
TRIGGER,-19.756,-0.9970918,0.50096,False
TRIGGER,-19.512,-0.9970881,0.501151,False
TRIGGER,-19.268,-0.9970846,0.501254,False
TRIGGER,-19.024,-0.9970739,0.501268,False
TRIGGER,-18.78,-0.9970704,0.501218,False
TRIGGER,-18.536,-0.997065,0.501103,False
TRIGGER,-18.292,-0.9970553,0.500945,False
TRIGGER,-18.048,-0.9970568,0.500767,False
TRIGGER,-17.804,-0.9970503,0.50058,False
TRIGGER,-17.56,-0.9970452,0.500404,False
TRIGGER,-17.316,-0.9970437,0.500262,False
TRIGGER,-17.072,-0.9970327,0.500155,False
TRIGGER,-16.828,-0.9970266,0.500103,False
TRIGGER,-16.584,-0.9970223,0.500111,False
TRIGGER,-16.34,-0.997017,0.500174,False
TRIGGER,-16.096,-0.9970149,0.500288,False
TRIGGER,-15.852,-0.9970099,0.500434,False
TRIGGER,-15.608,-0.9970054,0.500594,False
TRIGGER,-15.364,-0.9970039,0.500751,False
TRIGGER,-15.12,-0.9969937,0.500877,False
TRIGGER,-14.876,-0.9969843,0.500963,False
TRIGGER,-14.632,-0.9969825,0.501004,False
TRIGGER,-14.388,-0.9969771,0.500991,False
TRIGGER,-14.144,-0.9969738,0.500932,False
TRIGGER,-13.9,-0.9969703,0.500835,False
TRIGGER,-13.656,-0.9969646,0.500712,False
TRIGGER,-13.412,-0.9969611,0.500579,False
TRIGGER,-13.168,-0.9969538,0.500442,False
TRIGGER,-12.924,-0.9969456,0.50031,False
TRIGGER,-12.68,-0.9969427,0.500195,False
TRIGGER,-12.436,-0.9969381,0.500096,False
TRIGGER,-12.192,-0.9969326,0.500018,False
TRIGGER,-11.948,-0.9969318,0.499965,False
TRIGGER,-11.704,-0.9969253,0.499931,False
TRIGGER,-11.46,-0.9969185,0.499916,False
TRIGGER,-11.216,-0.9969158,0.499916,False
TRIGGER,-10.972,-0.9969054,0.499914,False
TRIGGER,-10.728,-0.9969003,0.49991,False
TRIGGER,-10.484,-0.996898,0.499889,False
TRIGGER,-10.24,-0.9968928,0.499845,False
