detector,flag_type,flag_name,value,trigger_window
H1,DQ,DATA,SET,1411261105.984--1411261109.984
H1,DQ,CBC_CAT1,SET,1411261105.984--1411261109.984
H1,DQ,CBC_CAT2,SET,1411261105.984--1411261109.984
H1,DQ,CBC_CAT3,SET,1411261105.984--1411261109.984
H1,DQ,BURST_CAT1,SET,1411261105.984--1411261109.984
H1,DQ,BURST_CAT2,SET,1411261105.984--1411261109.984
H1,DQ,BURST_CAT3,SET,1411261105.984--1411261109.984
H1,DQ,STOCH_CAT1,SET,1411261105.984--1411261109.984
H1,DQ,CW_CAT1,NOT_SET,1411261105.984--1411261109.984
H1,INJ,NO_CBC_HW_INJ,CLEAN,1411261105.984--1411261109.984
H1,INJ,NO_BURST_HW_INJ,CLEAN,1411261105.984--1411261109.984
H1,INJ,NO_DETCHAR_HW_INJ,CLEAN,1411261105.984--1411261109.984
H1,INJ,NO_CW_HW_INJ,INJ_PRESENT,1411261105.984--1411261109.984
H1,INJ,NO_STOCH_HW_INJ,CLEAN,1411261105.984--1411261109.984
L1,DQ,DATA,SET,1411261105.984--1411261109.984
L1,DQ,CBC_CAT1,SET,1411261105.984--1411261109.984
L1,DQ,CBC_CAT2,SET,1411261105.984--1411261109.984
L1,DQ,CBC_CAT3,SET,1411261105.984--1411261109.984
L1,DQ,BURST_CAT1,SET,1411261105.984--1411261109.984
L1,DQ,BURST_CAT2,SET,1411261105.984--1411261109.984
L1,DQ,BURST_CAT3,SET,1411261105.984--1411261109.984
L1,DQ,STOCH_CAT1,SET,1411261105.984--1411261109.984
L1,DQ,CW_CAT1,SET,1411261105.984--1411261109.984
L1,INJ,NO_CBC_HW_INJ,CLEAN,1411261105.984--1411261109.984
L1,INJ,NO_BURST_HW_INJ,CLEAN,1411261105.984--1411261109.984
L1,INJ,NO_DETCHAR_HW_INJ,CLEAN,1411261105.984--1411261109.984
L1,INJ,NO_CW_HW_INJ,INJ_PRESENT,1411261105.984--1411261109.984
L1,INJ,NO_STOCH_HW_INJ,CLEAN,1411261105.984--1411261109.984
