det,offset_s,bandpower
H1,-688.0,1.917619381785013e-39
H1,-684.0,8.366664218616937e-39
H1,-680.0,4.461394838809734e-39
H1,-676.0,6.047087315261587e-39
H1,-672.0,5.0770461379664056e-39
H1,-668.0,5.2070875418171474e-39
H1,-664.0,2.8382095747819063e-39
H1,-660.0,5.225279103168496e-39
H1,-656.0,2.012748562458545e-39
H1,-652.0,7.562998596848158e-39
H1,-648.0,3.328147470500634e-39
H1,-644.0,2.0591554865946466e-39
H1,-640.0,3.6487180314264306e-39
H1,-636.0,3.2607316391763e-39
H1,-632.0,4.4688580746464656e-39
H1,-628.0,3.989082076932718e-39
H1,-624.0,5.4337581673069576e-39
H1,-620.0,4.007598853953089e-39
H1,-616.0,5.3209251699105416e-39
H1,-612.0,4.529640448535047e-39
H1,-608.0,3.360117441839738e-39
H1,-604.0,5.6612602534837555e-39
H1,-600.0,4.7019490030620636e-39
H1,-596.0,5.6177203309731006e-39
H1,-592.0,4.312592515098848e-39
H1,-588.0,4.1097930279939875e-39
H1,-584.0,9.069560328957117e-39
H1,-580.0,5.3846392117145326e-39
H1,-576.0,2.5887267633154736e-39
H1,-572.0,2.0203714873601758e-39
H1,-568.0,5.465395401244572e-39
H1,-564.0,7.189973573176725e-39
H1,-560.0,2.275346281469843e-39
H1,-556.0,3.026465279657862e-39
H1,-552.0,2.433724476047148e-39
H1,-548.0,3.494702665176782e-39
H1,-544.0,3.274322914282902e-39
H1,-540.0,5.445001835754557e-39
H1,-536.0,5.8883395370462e-39
H1,-532.0,1.7333558908525417e-39
H1,-528.0,3.600758787517969e-39
H1,-524.0,2.5501920445562674e-39
H1,-520.0,1.1088070309291232e-39
H1,-516.0,2.908852370426186e-39
H1,-512.0,6.47332364254379e-39
H1,-508.0,3.259404851684417e-39
H1,-504.0,3.442327549638777e-39
H1,-500.0,3.5965394607840696e-39
H1,-496.0,6.581878480020338e-39
H1,-492.0,2.6848273572451972e-39
H1,-488.0,1.6119586550062847e-39
H1,-484.0,3.4199661200100513e-39
H1,-480.0,1.5140710244444948e-39
H1,-476.0,4.3563081103035036e-39
H1,-472.0,2.5684562156184043e-39
H1,-468.0,4.6471107903681916e-39
H1,-464.0,4.186937719531861e-39
H1,-460.0,4.835623108537549e-39
H1,-456.0,6.235122313384354e-39
H1,-452.0,3.682082378133218e-39
H1,-448.0,3.3788817351713e-39
H1,-444.0,5.991587834360649e-39
H1,-440.0,3.893375169497206e-39
H1,-436.0,1.2012172229024094e-38
H1,-432.0,6.872398352082313e-39
H1,-428.0,1.2462711924792684e-39
H1,-424.0,4.963591628857369e-39
H1,-420.0,3.8868233247835964e-39
H1,-416.0,5.7971804450163274e-39
H1,-412.0,8.981931374065998e-39
H1,-408.0,2.806799755283494e-39
H1,-404.0,2.6977555534891488e-39
H1,-400.0,4.345267660739473e-39
H1,-396.0,4.525031623669472e-39
H1,-392.0,2.3546692387752852e-39
H1,-388.0,8.335284540550861e-39
H1,-384.0,5.475683220812323e-39
H1,-380.0,5.1176895153910775e-39
H1,-376.0,4.7977482523681604e-39
H1,-372.0,6.982818739618178e-39
H1,-368.0,4.621154661169961e-39
H1,-364.0,6.668812880474893e-39
H1,-360.0,6.661466925890379e-39
H1,-356.0,3.8887916440906155e-39
H1,-352.0,2.0841376243515508e-39
H1,-348.0,4.564573362001649e-39
H1,-344.0,2.7541781748298578e-39
H1,-340.0,3.088312702764238e-39
H1,-336.0,5.8177642559736466e-39
H1,-332.0,4.962054952859184e-39
H1,-328.0,4.369978410083139e-39
H1,-324.0,3.356846139878385e-39
H1,-320.0,3.1950252076411904e-39
H1,-316.0,5.2162107667669755e-39
H1,-312.0,2.5633492434482028e-39
H1,-308.0,1.1315695311486514e-38
H1,-304.0,6.70909261867161e-39
H1,-300.0,3.1000240141598916e-39
H1,-296.0,3.026011188814133e-39
H1,-292.0,5.817464768457839e-39
H1,-288.0,4.079254730642058e-39
H1,-284.0,8.505989532095472e-39
H1,-280.0,4.235613618268161e-39
H1,-276.0,4.3704900507602615e-39
H1,-272.0,3.733042466135318e-39
H1,-268.0,5.049061383703647e-39
H1,-264.0,1.7700447090454296e-39
H1,-260.0,1.836920496934324e-39
H1,-256.0,3.815991005187861e-39
H1,-252.0,7.417935096054026e-39
H1,-248.0,2.801134093233007e-39
H1,-244.0,4.15833353146868e-39
H1,-240.0,4.407872654702426e-39
H1,-236.0,4.93943545446812e-39
H1,-232.0,1.9334395636875176e-39
H1,-228.0,2.8888357544011644e-39
H1,-224.0,3.713246023210423e-39
H1,-220.0,6.305637727729039e-39
H1,-216.0,3.196634200637982e-39
H1,-212.0,7.210705681853777e-39
H1,-208.0,2.939795515113069e-39
H1,-204.0,2.3264486571793893e-39
H1,-200.0,5.688844698264761e-39
H1,-196.0,7.319618950431961e-39
H1,-192.0,5.532894089640287e-39
