det,rank,freq_hz,height_db
H1,1,177.0,6.43
H1,2,20.0,6.25
H1,3,22.0,5.61
H1,4,169.0,3.86
H1,5,124.0,3.64
H1,6,28.0,3.53
H1,7,24.0,3.5
H1,8,40.0,3.37
H1,9,75.0,3.26
H1,10,36.0,3.04
H1,11,107.0,3.02
H1,12,60.0,2.72
H1,13,202.0,2.69
H1,14,167.0,2.65
H1,15,91.0,2.62
H1,16,156.0,2.2
H1,17,87.0,2.18
H1,18,162.0,2.15
H1,19,97.0,2.15
H1,20,42.0,2.08
L1,1,60.0,17.0
L1,2,120.0,7.41
L1,3,180.0,6.92
L1,4,20.0,6.15
L1,5,22.0,4.03
L1,6,166.0,3.47
L1,7,24.0,3.37
L1,8,132.0,3.03
L1,9,81.0,2.9
L1,10,193.0,2.86
L1,11,41.0,2.85
L1,12,208.0,2.44
L1,13,72.0,2.43
L1,14,153.0,2.41
L1,15,103.0,2.17
L1,16,144.0,2.09
L1,17,122.0,2.06
L1,18,130.0,2.0
L1,19,136.0,1.9
L1,20,85.0,1.89
