model,parameter,value,source,status
GR_control,type,TaylorF2_0PN,analytic,CONTROL_TEMPLATE_ONLY
GR_control,Mc_msun,8.9,public_alert,VALID_INDEPENDENT
GR_control,eta,0.25,public_alert,VALID_INDEPENDENT
GR_control,f_low_hz,20.0,standard,VALID_INDEPENDENT
GR_control,f_high_hz,800.0,standard,VALID_INDEPENDENT
SSZ_V0_proxy,label,SSZ_FORWARD_V0_PROXY,pipeline,PROXY_NOT_LOCKED
SSZ_V0_proxy,xi_form_in_band,xi_weak=rs/(2r),formula_compendium,CANONICAL
SSZ_V0_proxy,D_r,1/(1+Xi),formula_compendium,CANONICAL
SSZ_V0_proxy,deltaPsi,kappa*(1-D(r_orbit(f))),V0_proxy,NOT_LOCKED
SSZ_V0_proxy,kappa,1.0,proxy_default,NOT_LOCKED
SSZ_constants,phi,1.6180339887,formula_compendium,CANONICAL
SSZ_constants,Xi_max,0.80171,formula_compendium,CANONICAL
SSZ_constants,D_min,0.55503,formula_compendium,CANONICAL
SSZ_constants,BLEND_START,1.8,formula_compendium,CANONICAL
SSZ_constants,BLEND_END,2.2,formula_compendium,CANONICAL
epsilon_220,value,None,blocked,CONFLICTING_SSZ_SOURCES
epsilon_220,branch_C_39pct,DISCARDED_FOR_LIGO_STRAIN_TEST,qnm_spectrum.md,HISTORICAL_APPROXIMATION
epsilon_220,branch_A_3pct,PARTIAL_EXPLORATORY,v51_ch30,NOT_LOCKED
epsilon_220,branch_B_31pct,SUPERSEDED_OR_DIFFERENT_REGIME,dmin_squared_interp,NOT_LOCKED
