epsilon,f220_ssz_hz,delta_f_hz,delta_f_pct,lnL_gr,lnL_ssz,delta_lnL,snr_ssz,detectability
0.0000,152.632,0.000,0.00,1.5665e+03,1.5665e+03,0.0000e+00,55.973,UNDETECTABLE
0.0100,154.158,1.526,1.00,1.5665e+03,1.5664e+03,-8.0198e-02,55.984,UNDETECTABLE
0.0200,155.684,3.053,2.00,1.5665e+03,1.5662e+03,-3.2181e-01,55.995,UNDETECTABLE
0.0300,157.211,4.579,3.00,1.5665e+03,1.5658e+03,-7.2579e-01,56.006,UNDETECTABLE
0.0500,160.263,7.632,5.00,1.5665e+03,1.5645e+03,-2.0207e+00,56.028,MARGINAL
0.1000,167.895,15.263,10.00,1.5665e+03,1.5585e+03,-8.0195e+00,56.083,DETECTABLE
0.2000,183.158,30.526,20.00,1.5665e+03,1.5365e+03,-3.0025e+01,56.194,DETECTABLE
0.3081,199.651,47.019,30.81,1.5665e+03,1.5037e+03,-6.2764e+01,56.307,DETECTABLE
0.3100,199.948,47.316,31.00,1.5665e+03,1.5031e+03,-6.3389e+01,56.309,DETECTABLE
0.3900,212.158,59.526,39.00,1.5665e+03,1.4774e+03,-8.9080e+01,56.379,DETECTABLE
