report_filename,group,script_exists,log_exists,csv_exists,trigger_correct,hash_in_log,status,safe_to_cite,required_action
REAL_STRAIN_LOAD_REPORT.md,core_pipeline,TRUE,TRUE,FALSE,TRUE,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
REAL_STRAIN_SANITY_REPORT.md,core_pipeline,TRUE,TRUE,TRUE,TRUE,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
DERIVED_V0_STRAIN_PIPELINE_REPORT.md,core_pipeline,TRUE,TRUE,FALSE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
PSD_WELCH_REPORT.md,core_pipeline,TRUE,TRUE,FALSE,TRUE,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
GR_CONTROL_WAVEFORM_REPORT.md,core_pipeline,TRUE,TRUE,FALSE,TRUE,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
SSZ_FORWARD_APPLICATION_REPORT.md,core_pipeline,TRUE,TRUE,FALSE,TRUE,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
RESIDUAL_LIKELIHOOD_REPORT.md,core_pipeline,TRUE,TRUE,FALSE,TRUE,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
L1_ANOMALY_DIAGNOSTIC_REPORT.md,l1_diagnostic,TRUE,TRUE,FALSE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
L1_20_210HZ_GLITCH_STATIONARITY_REPORT.md,l1_diagnostic,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
L1_DQ_FLAG_CHECK_REPORT.md,l1_diagnostic,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
L1_ARTIFACT_GATE_FINAL_STATUS.md,l1_diagnostic,TRUE,TRUE,FALSE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
L1_GAUSSIANITY_TEST.md,l1_diagnostic,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
L1_HARMONIC_OSCILLATOR_TEST.md,l1_diagnostic,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
L1_LINE_NOTCH_TEST_REPORT.md,l1_diagnostic,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
L1_MULTIWINDOW_STATIONARITY_REPORT.md,l1_diagnostic,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
L1_NOTCH_SWEEP_REPORT.md,l1_diagnostic,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
L1_STFT_OMICRON_LITE_REPORT.md,l1_diagnostic,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
L1_EXCLUDED_OR_DIAGNOSTIC_REPORT.md,l1_diagnostic,FALSE,FALSE,FALSE,UNKNOWN,FALSE,UNVERIFIED,NO,Create script or mark as methodology
H1_L1_COHERENCE_PIPELINE_REPORT.md,h1l1_coherence,TRUE,TRUE,FALSE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
H1_L1_TIME_DELAY_REPLICATION_REPORT.md,h1l1_coherence,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
H1_L1_ABS_CORRELATION_REPLICATION_REPORT.md,h1l1_coherence,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
H1_L1_SUBBAND_REPLICATION_REPORT.md,h1l1_coherence,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
H1_L1_LONG_BASELINE_REPLICATION_REPORT.md,h1l1_coherence,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
H1_L1_LONG_BASELINE_XCORR_REPORT.md,h1l1_coherence,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
H1_L1_EXECUTION_REPORT.md,h1l1_coherence,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
H1_L1_COHERENCE_RECHECK_ROBUST_PSD.md,h1l1_coherence,FALSE,TRUE,FALSE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
H1L1_CROSS_COHERENCE_REPORT.md,h1l1_coherence,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
H1L1_TIME_DELAY_SCAN_REPORT.md,h1l1_coherence,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
H1_ONLY_EXPLORATORY_STRAIN_REPORT.md,h1l1_coherence,FALSE,FALSE,FALSE,UNKNOWN,FALSE,UNVERIFIED,NO,Create script or mark as methodology
TWIST_BRANCH_SYNTHETIC_REPORT.md,synthetic,TRUE,FALSE,TRUE,N/A,FALSE,SYNTHETIC_ONLY,YES_LABELED,Keep as synthetic
TWIST_BRANCH_2PN_SYNTHETIC_REPORT.md,synthetic,TRUE,FALSE,TRUE,N/A,FALSE,SYNTHETIC_ONLY,YES_LABELED,Keep as synthetic
GA_INTERFEROMETER_SYNTHETIC_REPORT.md,synthetic,TRUE,FALSE,FALSE,N/A,FALSE,SYNTHETIC_ONLY,YES_LABELED,Keep as synthetic
SOURCE_PROPAGATION_TWIST_SYNTHETIC_REPORT.md,synthetic,TRUE,FALSE,TRUE,N/A,FALSE,SYNTHETIC_ONLY,YES_LABELED,Keep as synthetic
SYNTHETIC_FORWARD_DRY_RUN_REPORT.md,synthetic,FALSE,FALSE,TRUE,N/A,FALSE,SYNTHETIC_ONLY,YES_LABELED,Keep as synthetic
TWIST_BRANCH_REAL_H1_L1_EXPLORATORY_REPORT.md,synthetic,TRUE,TRUE,FALSE,UNKNOWN,FALSE,PROVENANCE_LIMITED,NO,Blocked by L1-DQ
DQ_AWARE_FINAL_LIGO_STATUS.md,methodology,N/A,N/A,N/A,TRUE,N/A,PROVENANCE_VERIFIED,YES,Keep
FINAL_INTERPRETATION_LOCK.md,methodology,N/A,N/A,N/A,TRUE,N/A,PROVENANCE_VERIFIED,YES,Keep
ANTI_CIRCULARITY_FINAL_GATE.md,methodology,N/A,N/A,N/A,N/A,N/A,PROVENANCE_VERIFIED,YES,Keep
PROVENANCE_FIRST_MASTER_AUDIT.md,methodology,N/A,N/A,N/A,N/A,N/A,PROVENANCE_VERIFIED,YES,Keep
ARTIFACT_SCORE_REPORT.md,methodology,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,YES,Rerun with hash logging
GLOBAL_ANTI_CIRCULARITY_RULE.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
