scan,param,h1_l1_ratio_tw,h1_l1_ratio_gr,h1_l1_shift,resid_vs_scale_h1,delta_lnl_h1
constant_theta_ssz_v0,theta=0.000rad,0.8444224953664817,0.8444224953664817,0.0,0.0,0.0
constant_theta_ssz_v0,theta=0.001rad,0.8444224953664817,0.8444224953664817,0.0,2.7630554382088276e-35,-1.1454146808938258e-20
constant_theta_ssz_v0,theta=0.003rad,0.8444224953664817,0.8444224953664817,0.0,8.289163551571221e-35,-1.0308725255557979e-19
constant_theta_ssz_v0,theta=0.010rad,0.8444224953664817,0.8444224953664817,0.0,2.7630440406190416e-34,-1.1454052312537234e-18
constant_theta_ssz_v0,theta=0.030rad,0.8444224953664817,0.8444224953664817,0.0,8.28885581975559e-34,-1.0307959855325625e-17
constant_theta_ssz_v0,theta=0.100rad,0.8444224953664817,0.8444224953664817,0.0,2.7619044240894762e-33,-1.1444605821453829e-16
xi_proxy_theta_f,alpha=0.01,0.8444224953664816,0.8444224953664818,-2.220446049250313e-16,,
xi_proxy_theta_f,alpha=0.05,0.8444224953664817,0.8444224953664818,-1.1102230246251565e-16,,
xi_proxy_theta_f,alpha=0.10,0.8444224953664817,0.8444224953664818,-1.1102230246251565e-16,,
xi_proxy_theta_f,alpha=0.50,0.8444224953664817,0.8444224953664818,-1.1102230246251565e-16,,
xi_proxy_theta_f,alpha=1.00,0.8444224953664817,0.8444224953664818,-1.1102230246251565e-16,,
rsg_proxy_theta_f,alpha=0.01,0.8444224953664817,,-1.1102230246251565e-16,,
rsg_proxy_theta_f,alpha=0.05,0.8444224953664817,,-1.1102230246251565e-16,,
rsg_proxy_theta_f,alpha=0.10,0.8444224953664817,,-1.1102230246251565e-16,,
rsg_proxy_theta_f,alpha=0.50,0.8444224953664817,,-1.1102230246251565e-16,,
rsg_proxy_theta_f,alpha=1.00,0.8444224953664817,,-1.1102230246251565e-16,,
