det,tag,band,f_lo,f_hi,n,mean,std,skewness,kurtosis,excess_kurtosis,n_z3,n_z4,n_z5,ad_stat,ad_pass_5pct,bandpower_proxy,gauss_class,l1_h1_ratio
H1,TRIGGER,20-40,20.0,40.0,14746,-0.014376,1.0,-0.323,6.6729,3.6729,168,94,41,45.6784,False,0.0,STRONGLY_NON_GAUSSIAN,
H1,OFF_m500,20-40,20.0,40.0,14746,0.014001,1.0,0.8154,15.9768,12.9768,220,145,93,173.4231,False,0.0,STRONGLY_NON_GAUSSIAN,
H1,OFF_m300,20-40,20.0,40.0,14746,0.01383,1.0,0.9224,18.0922,15.0922,221,152,96,260.1253,False,0.0,STRONGLY_NON_GAUSSIAN,
L1,TRIGGER,20-40,20.0,40.0,14746,-0.022245,1.0,-2.0316,47.8567,44.8567,295,232,169,1769.1356,False,0.0,STRONGLY_NON_GAUSSIAN,0.0
L1,OFF_m500,20-40,20.0,40.0,14746,-0.004857,1.0,-0.0776,4.1085,1.1085,124,29,0,12.7661,False,0.0,STRONGLY_NON_GAUSSIAN,0.0
L1,OFF_m300,20-40,20.0,40.0,14746,0.016884,1.0,1.5972,39.9665,36.9665,293,203,153,1060.2984,False,0.0,STRONGLY_NON_GAUSSIAN,0.0
L1,OFF_m100,20-40,20.0,40.0,14746,0.008615,1.0,0.149,4.0891,1.0891,130,42,0,11.1172,False,0.0,STRONGLY_NON_GAUSSIAN,0.0
H1,TRIGGER,40-80,40.0,80.0,14746,0.000171,1.0,0.0066,3.3398,0.3398,100,0,0,2.7586,False,0.0,BORDERLINE,
H1,OFF_m500,40-80,40.0,80.0,14746,0.000118,1.0,-0.0145,3.2388,0.2388,61,0,0,5.8259,False,0.0,BORDERLINE,
H1,OFF_m300,40-80,40.0,80.0,14746,-0.000343,1.0,0.0203,2.9593,-0.0407,56,0,0,1.4227,False,0.0,BORDERLINE,
L1,TRIGGER,40-80,40.0,80.0,14746,-0.000209,1.0,0.0002,2.4846,-0.5154,0,0,0,14.1348,False,0.0,BORDERLINE,0.0
L1,OFF_m500,40-80,40.0,80.0,14746,0.000148,1.0,-0.0018,2.741,-0.259,2,0,0,2.0591,False,0.0,BORDERLINE,0.0
L1,OFF_m300,40-80,40.0,80.0,14746,-0.000178,1.0,0.0002,2.742,-0.258,0,0,0,5.3653,False,0.0,BORDERLINE,0.0
L1,OFF_m100,40-80,40.0,80.0,14746,0.000208,1.0,-0.0004,2.0355,-0.9645,0,0,0,76.5543,False,0.0,BORDERLINE,0.0
H1,TRIGGER,80-120,80.0,120.0,14746,-0.000521,1.0,0.0013,5.3858,2.3858,129,59,27,30.9518,False,0.0,STRONGLY_NON_GAUSSIAN,
H1,OFF_m500,80-120,80.0,120.0,14746,0.000175,1.0,-0.0005,3.0094,0.0094,54,0,0,2.1239,False,0.0,BORDERLINE,
H1,OFF_m300,80-120,80.0,120.0,14746,-0.000532,1.0,0.0009,2.7043,-0.2957,8,0,0,3.158,False,0.0,BORDERLINE,
L1,TRIGGER,80-120,80.0,120.0,14746,2e-05,1.0,-0.0001,6.2657,3.2657,212,77,30,50.4141,False,0.0,STRONGLY_NON_GAUSSIAN,0.0
L1,OFF_m500,80-120,80.0,120.0,14746,0.000266,1.0,-0.0008,2.7785,-0.2215,30,0,0,2.3129,False,0.0,BORDERLINE,0.0
L1,OFF_m300,80-120,80.0,120.0,14746,6e-06,1.0,-0.0,2.9983,-0.0017,33,0,0,1.6051,False,0.0,BORDERLINE,0.0
L1,OFF_m100,80-120,80.0,120.0,14746,1e-05,1.0,0.0001,2.8529,-0.1471,37,0,0,8.3326,False,0.0,BORDERLINE,0.0
H1,TRIGGER,120-160,120.0,160.0,14746,-0.000335,1.0,0.0008,4.2523,1.2523,85,35,14,6.1253,False,0.0,STRONGLY_NON_GAUSSIAN,
H1,OFF_m500,120-160,120.0,160.0,14746,0.000496,1.0,-0.0012,3.0543,0.0543,53,0,0,0.2395,True,0.0,GAUSSIAN,
H1,OFF_m300,120-160,120.0,160.0,14746,-0.000531,1.0,0.0013,2.8451,-0.1549,12,0,0,0.5461,True,0.0,GAUSSIAN,
L1,TRIGGER,120-160,120.0,160.0,14746,0.000149,1.0,-0.0004,8.6626,5.6626,150,69,47,44.3822,False,0.0,STRONGLY_NON_GAUSSIAN,0.0
L1,OFF_m500,120-160,120.0,160.0,14746,-5.8e-05,1.0,-0.0,2.9726,-0.0274,46,0,0,0.2364,True,0.0,GAUSSIAN,0.0
L1,OFF_m300,120-160,120.0,160.0,14746,0.000484,1.0,-0.0007,3.8563,0.8563,94,33,0,3.0599,False,0.0,STRONGLY_NON_GAUSSIAN,0.0
L1,OFF_m100,120-160,120.0,160.0,14746,0.000167,1.0,-0.0003,2.9753,-0.0247,30,0,0,0.3599,True,0.0,GAUSSIAN,0.0
H1,TRIGGER,160-210,160.0,210.0,14746,-0.000124,1.0,0.0004,3.4053,0.4053,69,16,0,0.7399,True,0.0,GAUSSIAN,
H1,OFF_m500,160-210,160.0,210.0,14746,0.000199,1.0,-0.0005,2.9934,-0.0066,33,0,0,0.8231,False,0.0,BORDERLINE,
H1,OFF_m300,160-210,160.0,210.0,14746,0.000327,1.0,-0.0008,3.1497,0.1497,47,0,0,3.2214,False,0.0,BORDERLINE,
L1,TRIGGER,160-210,160.0,210.0,14746,7.2e-05,1.0,0.0001,3.1984,0.1984,52,15,0,0.6385,True,0.0,GAUSSIAN,0.0
L1,OFF_m500,160-210,160.0,210.0,14746,-0.000165,1.0,0.0003,3.0417,0.0417,25,0,0,1.1331,False,0.0,BORDERLINE,0.0
L1,OFF_m300,160-210,160.0,210.0,14746,-8.4e-05,1.0,-0.0,3.2799,0.2799,90,0,0,1.5579,False,0.0,BORDERLINE,0.0
L1,OFF_m100,160-210,160.0,210.0,14746,0.000138,1.0,-0.0004,3.1511,0.1511,47,3,0,3.2935,False,0.0,STRONGLY_NON_GAUSSIAN,0.0
