scan,pn_order,theta_rad,ratio_0pn,shift_0pn,ratio_2pn,shift_2pn,improvement_factor,deg_metric_0pn,deg_metric_2pn
constant_theta,0PN_vs_2PN,0.0,0.8673896041253571,0.0,0.8706533125888725,0.0,inf,1.6321792372860989e-16,0.0017355196890166801
constant_theta,0PN_vs_2PN,0.001,0.8673851351573374,4.4689680197551596e-06,0.870647809702822,5.50288605050131e-06,1.23135498535136,1.6321792372860989e-16,0.0017355196890166801
constant_theta,0PN_vs_2PN,0.003,0.8673759214226161,1.3682702741046882e-05,0.870636489178306,1.6823410566413344e-05,1.2295385557083411,1.6321792372860989e-16,0.0017355196890166801
constant_theta,0PN_vs_2PN,0.01,0.8673407826240157,4.882150134144503e-05,0.8705935690197509,5.974356912152867e-05,1.223714295545676,1.6321792372860989e-16,0.0017355196890166801
constant_theta,0PN_vs_2PN,0.03,0.8672157437575636,0.00017386036779354352,0.8704428402069854,0.0002104723818870946,1.2105828634679254,1.6321792372860989e-16,0.0017355196890166801
constant_theta,0PN_vs_2PN,0.1,0.8664967775750704,0.0008928265502867738,0.8695951430769436,0.0010581695119288304,1.1851904623456244,1.6321792372860989e-16,0.0017355196890166801
xi_proxy_theta_f,0PN_vs_2PN,0.01,0.8673870906087153,2.5135166418222e-06,0.8706500227558673,3.289833005126752e-06,1.3088566633645813,1.6321792372860989e-16,0.0017355196890166801
xi_proxy_theta_f,0PN_vs_2PN,0.05,0.8673766852342689,1.2918891088231632e-05,0.8706364044764927,1.6908112379754314e-05,1.3087897610002017,1.6321792372860989e-16,0.0017355196890166801
xi_proxy_theta_f,0PN_vs_2PN,0.1,0.8673628890145467,2.671511081042688e-05,0.8706183504566036,3.496213226883427e-05,1.3087024986319198,1.6321792372860989e-16,0.0017355196890166801
xi_proxy_theta_f,0PN_vs_2PN,0.5,0.8672211446406008,0.00016845948475630035,0.8704329889005817,0.00022032368829072446,1.3078734546140443,1.6321792372860989e-16,0.0017355196890166801
xi_proxy_theta_f,0PN_vs_2PN,1.0,0.866966720497131,0.0004228836282261783,0.8701007925666379,0.0005525200222346038,1.3065533526379267,1.6321792372860989e-16,0.0017355196890166801
rsg_proxy_theta_f,0PN_vs_2PN,0.01,0.867388115618587,1.488506770175313e-06,0.8706513108177774,2.0017710951059087e-06,1.3448182670140927,1.6321792372860989e-16,0.0017355196890166801
rsg_proxy_theta_f,0PN_vs_2PN,0.1,0.8673740546477416,1.554947761550629e-05,0.8706323815212615,2.0931067610918674e-05,1.3460945845567018,1.6321792372860989e-16,0.0017355196890166801
rsg_proxy_theta_f,0PN_vs_2PN,0.5,0.8672971572510763,9.244687428089371e-05,0.870528467326021,0.00012484526285150288,1.3504541264658534,1.6321792372860989e-16,0.0017355196890166801
rsg_proxy_theta_f,0PN_vs_2PN,1.0,0.8671683197564106,0.00022128436894652825,0.870353728711879,0.00029958387699347,1.3538411159346833,1.6321792372860989e-16,0.0017355196890166801
