detector,theta_rad,snr_gr,snr_scale,snr_twist,lnl_gr,lnl_scale,lnl_twist,delta_lnl_vs_gr,delta_lnl_vs_scale,resid_rms_gr,resid_rms_scale,resid_rms_twist
H1,0.0,40.52089402228408,10.431212825110778,10.431212825110778,-32917877.03973914,-32917877.039735496,-32917877.039735496,3.643333911895752e-06,0.0,1.710923335775583e-21,1.710923335775488e-21,1.710923335775488e-21
H1,0.001,40.52089402228408,10.431212825110778,10.432945368205973,-32917877.03973914,-32917877.039735496,-32917877.039735496,3.643333911895752e-06,0.0,1.710923335775583e-21,1.710923335775488e-21,1.7109233357754853e-21
H1,0.003,40.52089402228408,10.431212825110778,10.436379153840816,-32917877.03973914,-32917877.039735496,-32917877.039735496,3.643333911895752e-06,0.0,1.710923335775583e-21,1.710923335775488e-21,1.7109233357754804e-21
H1,0.01,40.52089402228408,10.431212825110778,10.448068569098977,-32917877.03973914,-32917877.039735496,-32917877.039735492,3.647059202194214e-06,3.725290298461914e-09,1.710923335775583e-21,1.710923335775488e-21,1.710923335775463e-21
H1,0.03,40.52089402228408,10.431212825110778,10.478644081543335,-32917877.03973914,-32917877.039735496,-32917877.039735492,3.647059202194214e-06,3.725290298461914e-09,1.710923335775583e-21,1.710923335775488e-21,1.710923335775414e-21
H1,0.1,40.52089402228408,10.431212825110778,10.552586627248875,-32917877.03973914,-32917877.039735496,-32917877.03973549,3.6507844924926758e-06,7.450580596923828e-09,1.710923335775583e-21,1.710923335775488e-21,1.7109233357752427e-21
L1,0.0,277.5429239625936,20.999265314083665,20.999265314083665,-15718156340.50344,-15718156340.503416,-15718156340.503416,2.47955322265625e-05,0.0,1.1135030411750776e-20,1.1135030411747238e-20,1.1135030411747238e-20
L1,0.001,277.5429239625936,20.999265314083665,20.77279880085273,-15718156340.50344,-15718156340.503416,-15718156340.503416,2.47955322265625e-05,0.0,1.1135030411750776e-20,1.1135030411747238e-20,1.1135030411747238e-20
L1,0.003,277.5429239625936,20.999265314083665,20.319803682487347,-15718156340.50344,-15718156340.503416,-15718156340.503416,2.47955322265625e-05,0.0,1.1135030411750776e-20,1.1135030411747238e-20,1.1135030411747241e-20
L1,0.01,277.5429239625936,20.999265314083665,18.733692588636043,-15718156340.50344,-15718156340.503416,-15718156340.503414,2.6702880859375e-05,1.9073486328125e-06,1.1135030411750776e-20,1.1135030411747238e-20,1.1135030411747241e-20
L1,0.03,277.5429239625936,20.999265314083665,14.197153819516023,-15718156340.50344,-15718156340.503416,-15718156340.503414,2.6702880859375e-05,1.9073486328125e-06,1.1135030411750776e-20,1.1135030411747238e-20,1.1135030411747249e-20
L1,0.1,277.5429239625936,20.999265314083665,1.7135248705130928,-15718156340.50344,-15718156340.503416,-15718156340.503414,2.6702880859375e-05,1.9073486328125e-06,1.1135030411750776e-20,1.1135030411747238e-20,1.1135030411747282e-20
